Sublibrary|Collection|Material Type|Item Status|IPS|Temp Loc|Item Count
TNS Scherman Library|Music|Scores|In House Cataloging|In House Cataloging|No|29
TNS Scherman Library|Music Reference|Sound Recordings|Out to Cat|Out to Cat|No|1
TNS Scherman Library|Music|Scores|On Search|On Search|No|69
TNS Scherman Library|Reference|Sound Recordings|Library Use Only|Not in Process|No|2
TNS Scherman Library|Music Reference|Books|Library Use Only|Not in Process|No|89
TNS Scherman Library|Music Reference|Scores|In House Cataloging|In House Cataloging|No|2
TNS Scherman Library|Audio Visual|Sound Recordings|On Order|On order|No|1
TNS Scherman Library|Music|Sound Recordings|Withdrawn|Withdrawn|No|1
TNS Scherman Library|SpecCol|Periodicals|On Search|On Search|No|2
TNS Scherman Library|Music|Sound Recordings|Regular loan|Not in Process|No|41
TNS Scherman Library|Main Collection|Scores|In House Cataloging|In House Cataloging|No|18
TNS Scherman Library|Miniature Scores|Scores|At Bindery|At Bindery|No|1
TNS Scherman Library|Main Collection|Videos|Video|Not in Process|No|14
TNS Scherman Library|Periodicals|Periodicals|Expected|Expected|No|114
TNS Scherman Library|Main Collection|Books|On Search|On Search|Yes|2
TNS Scherman Library|Reference|Periodicals|Library Use Only|Not in Process|No|37
TNS Scherman Library|Audio Visual|Videos|Depository|Depository|No|10
TNS Scherman Library|Main Collection|Books|Depository|Depository|Yes|4
TNS Scherman Library|Annex|Sound Recordings|Recorded music|Not in Process|No|505
TNS Scherman Library|Periodicals|Issue (bound)|At Bindery|At Bindery|No|1
TNS Scherman Library|Audio Visual|Videos|Library Use Only|Not in Process|No|105
TNS Scherman Library|Music Reference|Periodicals|Depository|Depository|No|1
TNS Scherman Library|Music|Scores|Lost and Paid|Lost and Paid|Yes|15
TNS Scherman Library|Music|Sound Recordings|Regular loan|Not in Process|Yes|1
TNS Scherman Library|Music|Sound Recordings|Reserve 4 hour loan|Not in Process|No|1
TNS Scherman Library|Main Collection|Scores|On Order|On order|Yes|16
TNS Scherman Library|Audio Visual|Sound Recordings|Reserve 4 hour loan|Not in Process|No|575
TNS Scherman Library|Miniature Scores|Scores|In House Cataloging|In House Cataloging|No|1
TNS Scherman Library|Main Collection|Books|Lost/Reorder Review|Lost/Reorder Review|Yes|14
TNS Scherman Library|Music|Books|Depository|Depository|No|6
TNS Scherman Library|Miniature Scores|Scores|Bindery prep|Bindery prep|No|2
TNS Scherman Library|Annex|Periodicals|Depository|Depository|No|1
TNS Scherman Library|Audio Visual|Videos|Regular loan|Not in Process|Yes|1
TNS Scherman Library|SpecCol|Scores|Special Collection|Not in Process|No|1
TNS Scherman Library|SpecCol|Books|Depository|Depository|Yes|1
TNS Scherman Library|Main Collection|Videos|Regular loan|Not in Process|No|1
TNS Scherman Library|Periodicals|Issue (bound)|Depository|Depository|No|407
TNS Scherman Library|Audio Visual|Scores|Video|Not in Process|No|2
TNS Scherman Library|Music Reference|Books|Regular loan|Not in Process|No|2
TNS Scherman Library|Full Score|Scores|On Search|On Search|No|11
TNS Scherman Library|Office|Books|Depository|Depository|No|4
TNS Scherman Library|Music Reference|Scores|Regular loan|Not in Process|No|21
TNS Scherman Library|Main Collection|Books|Lost/Reorder Review|Lost/Reorder Review|No|7
TNS Scherman Library|Miniature Scores|Books|Depository|Depository|No|1
TNS Scherman Library|Circ Desk|Sound Recordings|Regular loan|Not in Process|No|1
TNS Scherman Library|Full Score|Sound Recordings|Regular loan|Not in Process|No|2
TNS Scherman Library|Reference|Issue (bound)|Library Use Only|Not in Process|No|4
TNS Scherman Library|Main Collection|Books|NYU offsite prep|Offsite processing|No|6
TNS Scherman Library|Music|Scores|Library Use Only|Not in Process|No|5
TNS Scherman Library|Music Reference|Books|In House Cataloging|In House Cataloging|No|1
TNS Scherman Library|Oversize Collection|Scores|Depository|Depository|No|2
